year,month,questions,unanswered_questions,accepted_answer_questions,avg_answers,avg_comments,avg_score
"2022","3","123407","25729","49779","1.1023361721782394","1.961525683308078","0.750119523203708"
"2022","4","114155","23416","46138","1.1107704436949761","1.9486662870658316","0.7311374885024747"
"2022","5","116212","24392","46059","1.1055570853268164","1.9880477059167727","0.7127835335421471"
"2022","6","111417","23268","44474","1.0955240223664253","1.9874435678576878","0.6664333091000476"
"2022","7","110877","22680","44943","1.0997140976036508","1.993371032766038","0.6156732234818764"
"2022","8","112934","22971","45973","1.0981192554943595","1.998246763596437","0.5960649582942249"
"2022","9","103836","20606","42357","1.0976732539774259","1.9937208675218614","0.5253765553372626"
"2022","10","106197","21955","42860","1.079333691158884","1.9732195824740812","0.5169543395764475"
"2022","11","109566","23123","43077","1.063614624974901","1.963245897449939","0.5171312268404432"
"2022","12","96527","20273","37858","1.0659608192526444","1.9428553668921649","0.5813813751592819"
"2023","1","97013","20920","38019","1.058332388442786","2.0250172657272736","0.5695319184026884"
"2023","2","85855","18913","32888","1.0406615805718944","1.9721507192359211","0.5516976297245355"
"2023","3","87352","19788","33012","1.0363014012272187","1.9770926824800805","0.6037526330250023"
"2023","4","68615","16100","25182","1.0146032208700722","2.007068425271442","0.6114260730161043"
"2023","5","66605","16109","24343","1.0083026799789805","2.068733578560168","0.6078072216800541"
"2023","6","63718","15921","22648","0.9948837063310211","2.070529520700587","0.5854546595938354"
"2023","7","62843","15520","22536","0.9966424263641137","2.0869150104228","0.55754817561224"
"2023","8","60177","14930","21685","0.9971750004154412","2.13199395117736","0.549744919155159"
"2023","9","52822","13111","19054","0.9933739729658096","2.1578887584718487","0.5471583809776229"
"2023","10","52419","12418","19017","0.9970430569068468","2.1364009233293273","0.5008298517713043"
"2023","11","50356","12805","17913","0.977599491619668","2.1612916037810788","0.5353681785685916"
"2023","12","42409","10757","14866","0.9709495625928458","2.1537645311136786","0.5183097927326746"
"2024","1","47696","11932","17090","0.9781742703790675","2.190477188862798","0.49725343844347536"
"2024","2","46044","11876","16048","0.9603857180088611","2.152701763530536","0.48431934671184085"
"2024","3","44791","11296","15689","0.9670916032238619","2.1875823268067247","0.4635082940769351"
"2024","4","42466","11158","14628","0.9419535628502802","2.2031743041492016","0.44185936984882024"
"2024","5","40146","10627","13572","0.9453245653365216","2.1989239276640262","0.4953170926119663"
"2024","6","32004","8596","10911","0.9430696162979627","2.2981502312210975","0.5150606174228222"
"2024","7","31491","7729","11127","0.9732939570035883","2.21040932329872","0.43107554539392207"
"2024","8","27859","6608","9890","0.9908467640618831","2.2468143149431063","0.4455292724074805"
"2024","9","24788","6194","8748","0.982652896562853","2.291269969340003","0.5219864450540584"
"2024","10","23210","5535","8274","1.0037052994398965","2.2738043946574753","0.5147350280051702"
"2024","11","20838","5223","7325","0.9778769555619541","2.2569824359343507","0.5353200883002207"
"2024","12","17962","4742","6144","0.9567976839995546","2.1967486916824406","0.5758267453512972"
"2025","1","18229","4544","6389","0.973119754237753","2.3645290471227165","0.5706292171814142"
"2025","2","15559","3719","5495","1.0021852304132657","2.2178803264991322","0.5882768815476573"
"2025","3","15125","3549","5379","0.9930578512396694","2.266314049586777","0.5644297520661157"
"2025","4","11448","2696","4065","1.0089098532494758","2.382162823200559","0.6516422082459818"
"2025","5","11061","3580","3487","0.8991049633848658","2.130187144019528","0.5912666124220233"
"2025","6","9186","3150","2793","0.8629436098410624","2.2129327237099936","0.6233398650119747"
"2025","7","7744","2555","2537","0.8956611570247934","2.2608471074380163","0.7128099173553719"
"2025","8","5832","1948","1944","0.8952331961591221","2.2834362139917697","0.7995541838134431"
"2025","9","6054","2245","1769","0.8384539147670962","2.2246448629005617","0.764783614139412"
"2025","10","5314","1897","1643","0.8669552126458412","2.262514113662025","0.8411742566804666"
"2025","11","4266","1439","1297","0.8717768401312705","2.278246601031411","0.8302859821847164"
"2025","12","3334","1076","1037","0.8965206958608278","2.3623275344931014","1.0305938812237552"
"2026","1","2958","994","949","0.8928329952670724","2.3732251521298173","0.9286680189317106"
"2026","2","2308","751","747","0.9150779896013865","2.3890814558058926","1.0667244367417679"
"2026","3","1935","652","603","0.8806201550387597","2.4015503875968993","0.8790697674418605"
"2026","4","1701","665","466","0.8065843621399177","2.493239271017049","0.40681951793062904"
"2026","5","613","354","92","0.5448613376835236","2.3213703099510603","-0.6541598694942904"
